"Ipocsa-Inversiones, Proyectos y Obras Civiles, S.A., Equipamientos Blaslo, S.L. y Hormigones Grañen","Inversiones, Proyectos y Obras Civiles","Inversiones, Proyectos y Obras Civiles"
"Marco Obra Pública, S.A. y Sorigue, S.A.",Marco Obra Pública,Marco Obra Pública
"Marco Obra Pública, S.A. y Sorigue, S.A.",Sorigué,Sorigué
MDE-CHM UTE Almussafes,Constructora Hormigones Martínez,Grupo Vallalba
MDE-CHM UTE Almussafes,"Mantenimiento de Estaciones, S.L.","Mantenimiento de Estaciones, S.L."
"Moix, Serveis i Obres, SLU - EMTE, SLU - COMSA, SAU, UTE",Comsa,Comsa
"Moix, Serveis i Obres, SLU - EMTE, SLU - COMSA, SAU, UTE",EMTE,Comsa
"Moix, Serveis i Obres, SLU - EMTE, SLU - COMSA, SAU, UTE","Moix, Obres i Serveis","Moix, Obres i Serveis"
"Novantia Integral, S.A.-Air Ambient",Air Ambient,Air Ambient
"Novantia Integral, S.A.-Air Ambient","Novantia Integral, S.A.","Novantia Integral, S.A."
"Obras y Servicios Públicos, S.A. y Desarrollo de Tecnologías de Depuración",Desarrollo de Tecnologías de Depuración,Desarrollo de Tecnologías de Depuración
"Obras y Servicios Públicos, S.A. y Desarrollo de Tecnologías de Depuración",Obras y Servicios Públicos,Obras y Servicios Públicos
OPROLER Y COYNERESA,"Oproler, Obras y Proyectos",Oproler
OPROLER Y COYNERESA,Coynere,Coynere
"Palmiro, S.A. / Nasipa, S.L..",NASIPA,NASIPA
"Palmiro, S.A. / Nasipa, S.L..","Palmiro, S.A.","Palmiro, S.A."
"Passavant España. S.A. y Levantina, Ingeniería y Construcciones","Levantina, Ingeniería y Construcción","Levantina, Ingeniería y Construcción"
"Passavant España. S.A. y Levantina, Ingeniería y Construcciones","Passavant España, S.A.","Passavant España, S.A."
"Proyectos y Obras del Ebro, S.A Sociedad General de Obras, S.A (Sogeosa) y Terres Empresa Constructora",Proyectos y Obras del Ebro,Proyectos y Obras del Ebro
"Proyectos y Obras del Ebro, S.A Sociedad General de Obras, S.A (Sogeosa) y Terres Empresa Constructora",Sociedad General de Obras,Sociedad General de Obras
"Proyectos y Obras del Ebro, S.A Sociedad General de Obras, S.A (Sogeosa) y Terres Empresa Constructora",Terres Empresa Constructora,Terres Empresa Constructora
"Scrinser, S.A., y Prinur S.A.U..",Prinur,Sacyr
"Scrinser, S.A., y Prinur S.A.U..",Scrinser,Sacyr
"TECISA 74, S.L., y SAIMA SEGURIDAD",SAIMA SEGURIDAD,SAIMA SEGURIDAD
"TECISA 74, S.L., y SAIMA SEGURIDAD","TECISA 74, S.L.,","TECISA 74, S.L.,"
"Torrescamara y Compañía de obras, S.A., Constr. Cerámicas Lagos",Constr. Cerámicas Lagos,Constr. Cerámicas Lagos
"Torrescamara y Compañía de obras, S.A., Constr. Cerámicas Lagos",Torrescámara y Compañía de Obras,Torrescámara y Compañía de Obras
"Umrer, S.L./Gestión Integral de Construcción 2005, S.L.L.","Gestión Integral de Construcciones 2005, S.L.L.","Gestión Integral de Construcciones 2005, S.L.L."
"Umrer, S.L./Gestión Integral de Construcción 2005, S.L.L.",Umrer,Umrer
UTE Acondicionamiento y Conservación Área Número 3,Acciona Infraestructuras,Acciona
UTE Acondicionamiento y Conservación Área Número 3,Hocensa Construcciones,Hocensa Construcciones
UTE Carreteras Sigüenza,"CONSTRUCCIONES MANUEL DE ÁGUEDA E HIJOS, S.L.","CONSTRUCCIONES MANUEL DE ÁGUEDA E HIJOS, S.L."
UTE Carreteras Sigüenza,RAYET Construcción,RAYET Construcción
UTE Carreteras Sigüenza,Valoriza Conservación de Infraestructuras,Sacyr
UTE DGU,Asfaltos Vicálvaro,Asfaltos Vicálvaro
UTE DGU,"CONSTRUCCIONES Y REHABILITACIONES Y ACABADOS, S.A","CONSTRUCCIONES Y REHABILITACIONES Y ACABADOS, S.A"
UTE DGU,"PEYBER HISPANICA,S.L.","PEYBER HISPANICA,S.L."
UTE DGU,"Sedesa, Obras y Servicios","Sedesa, Obras y Servicios"
UTE DGU,Tecnivial,Tecnivial
"UTE Paviments Bcn Oest: Proinosa / Amsa / Mj Gruas, S.A.",Ascensores Madrid,Ascensores Madrid
"UTE Paviments Bcn Oest: Proinosa / Amsa / Mj Gruas, S.A.","MJ Gruas, S.A.","MJ Gruas, S.A."
"UTE Paviments Bcn Oest: Proinosa / Amsa / Mj Gruas, S.A.",Proinosa,Proinosa
"UTE: A.P.I. Movilidad, S.A. y Arcebansa, S.A.",API Movilidad,ACS
"UTE: A.P.I. Movilidad, S.A. y Arcebansa, S.A.",ARCEBANSA,Grupo Arcebansa
